Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,robustness/mean,robustness/p90,robustness/variance,model,prompt
2024-09-30 18:53:26,2.5min,d78484bf9baa4fb584781253d0d8da43,Prompt 3_mistralai/Mixtral-8x22B-Instruct-v0.1_eval_2024-09-30T16:53:26.988344,LOCAL,/home/cyril-k/.cache/pypoetry/virtualenvs/mlflow-llmops-iFome7o9-py3.10/lib/python3.10/site-packages/ipykernel_launcher.py,admin,FINISHED,3.36,5,1.7504,mistralai/Mixtral-8x22B-Instruct-v0.1,Prompt 3
2024-09-30 18:50:19,3.1min,5e59200816de444998b3d0eea628b4e2,Prompt 2_mistralai/Mixtral-8x22B-Instruct-v0.1_eval_2024-09-30T16:50:19.967540,LOCAL,/home/cyril-k/.cache/pypoetry/virtualenvs/mlflow-llmops-iFome7o9-py3.10/lib/python3.10/site-packages/ipykernel_launcher.py,admin,FINISHED,2.52,4,1.5296,mistralai/Mixtral-8x22B-Instruct-v0.1,Prompt 2
2024-09-30 18:47:05,3.2min,b98651c90b4c4524a8d56eb5378bf413,Prompt 1_mistralai/Mixtral-8x22B-Instruct-v0.1_eval_2024-09-30T16:47:05.453202,LOCAL,/home/cyril-k/.cache/pypoetry/virtualenvs/mlflow-llmops-iFome7o9-py3.10/lib/python3.10/site-packages/ipykernel_launcher.py,admin,FINISHED,1.8,4,1.6800000000000004,mistralai/Mixtral-8x22B-Instruct-v0.1,Prompt 1
2024-09-30 18:47:04,8.9min,1d87ec901e9644b283c658ea69fbc681,mistralai/Mixtral-8x22B-Instruct-v0.1_eval_2024-09-30T16:47:04.907622,LOCAL,/home/cyril-k/.cache/pypoetry/virtualenvs/mlflow-llmops-iFome7o9-py3.10/lib/python3.10/site-packages/ipykernel_launcher.py,admin,FINISHED,,,,mistralai/Mixtral-8x22B-Instruct-v0.1,
2024-09-30 18:44:26,2.6min,4d965bbd4787489697c4b8407998e984,Prompt 3_mistralai/Mixtral-8x7B-Instruct-v0.1_eval_2024-09-30T16:44:26.215594,LOCAL,/home/cyril-k/.cache/pypoetry/virtualenvs/mlflow-llmops-iFome7o9-py3.10/lib/python3.10/site-packages/ipykernel_launcher.py,admin,FINISHED,3.2,4,1.52,mistralai/Mixtral-8x7B-Instruct-v0.1,Prompt 3
2024-09-30 18:41:47,2.6min,5c6ccad2a21c4a39961c47688eced44a,Prompt 2_mistralai/Mixtral-8x7B-Instruct-v0.1_eval_2024-09-30T16:41:47.455725,LOCAL,/home/cyril-k/.cache/pypoetry/virtualenvs/mlflow-llmops-iFome7o9-py3.10/lib/python3.10/site-packages/ipykernel_launcher.py,admin,FINISHED,1.88,4,1.5456,mistralai/Mixtral-8x7B-Instruct-v0.1,Prompt 2
2024-09-30 18:38:51,2.9min,ce320cd151c146d8b8b5852d39dcae44,Prompt 1_mistralai/Mixtral-8x7B-Instruct-v0.1_eval_2024-09-30T16:38:51.881871,LOCAL,/home/cyril-k/.cache/pypoetry/virtualenvs/mlflow-llmops-iFome7o9-py3.10/lib/python3.10/site-packages/ipykernel_launcher.py,admin,FINISHED,1.68,3.6000000000000014,1.1776,mistralai/Mixtral-8x7B-Instruct-v0.1,Prompt 1
2024-09-30 18:38:51,8.2min,b5b8a3a7097d40858eca9c67e362fe6d,mistralai/Mixtral-8x7B-Instruct-v0.1_eval_2024-09-30T16:38:51.327420,LOCAL,/home/cyril-k/.cache/pypoetry/virtualenvs/mlflow-llmops-iFome7o9-py3.10/lib/python3.10/site-packages/ipykernel_launcher.py,admin,FINISHED,,,,mistralai/Mixtral-8x7B-Instruct-v0.1,
2024-09-30 18:36:21,2.5min,ca45358e91c744e4a6fcd45819b5a560,Prompt 3_mistralai/Mistral-Nemo-Instruct-2407_eval_2024-09-30T16:36:21.149785,LOCAL,/home/cyril-k/.cache/pypoetry/virtualenvs/mlflow-llmops-iFome7o9-py3.10/lib/python3.10/site-packages/ipykernel_launcher.py,admin,FINISHED,3.28,4.600000000000001,2.1216000000000004,mistralai/Mistral-Nemo-Instruct-2407,Prompt 3
2024-09-30 18:32:13,4.1min,a8cd56bb80a54f52b45c8ec5f8587313,Prompt 2_mistralai/Mistral-Nemo-Instruct-2407_eval_2024-09-30T16:32:13.643411,LOCAL,/home/cyril-k/.cache/pypoetry/virtualenvs/mlflow-llmops-iFome7o9-py3.10/lib/python3.10/site-packages/ipykernel_launcher.py,admin,FINISHED,1.92,4,1.7536,mistralai/Mistral-Nemo-Instruct-2407,Prompt 2
2024-09-30 18:26:26,5.8min,7d3d5abfb612447fac03170782d2cdf6,Prompt 1_mistralai/Mistral-Nemo-Instruct-2407_eval_2024-09-30T16:26:26.917569,LOCAL,/home/cyril-k/.cache/pypoetry/virtualenvs/mlflow-llmops-iFome7o9-py3.10/lib/python3.10/site-packages/ipykernel_launcher.py,admin,FINISHED,1.88,4,1.7056,mistralai/Mistral-Nemo-Instruct-2407,Prompt 1
2024-09-30 18:26:26,12.4min,e8aa9f8cc6bc4aa583ad4d13f1366580,mistralai/Mistral-Nemo-Instruct-2407_eval_2024-09-30T16:26:26.373529,LOCAL,/home/cyril-k/.cache/pypoetry/virtualenvs/mlflow-llmops-iFome7o9-py3.10/lib/python3.10/site-packages/ipykernel_launcher.py,admin,FINISHED,,,,mistralai/Mistral-Nemo-Instruct-2407,
